
running 1 test
step(A) =  117, err =  4.068278160422103E-01, h_new =  6.029683065905002E-03, n_yes =  99, n_no =   0, h*lambda =  3.296902269471554E+00
step(A) =  118, err =  4.057956124289758E-01, h_new =  6.102407023818934E-03, n_yes = 100, n_no =   0, h*lambda =  3.296820238848189E+00
step(A) =  119, err =  4.047044721781657E-01, h_new =  6.178207835896392E-03, n_yes = 101, n_no =   0, h*lambda =  3.296745534750657E+00
step(A) =  120, err =  4.035477273747978E-01, h_new =  6.257320635684317E-03, n_yes = 102, n_no =   0, h*lambda =  3.296678879229760E+00
step(A) =  121, err =  4.023180971211965E-01, h_new =  6.340009206902334E-03, n_yes = 103, n_no =   0, h*lambda =  3.296622888213925E+00
step(A) =  122, err =  4.010083145398303E-01, h_new =  6.426567990759111E-03, n_yes = 104, n_no =   0, h*lambda =  3.296581706298546E+00
step(A) =  123, err =  3.996108814206499E-01, h_new =  6.517325459700531E-03, n_yes = 105, n_no =   0, h*lambda =  3.296559976828275E+00
step(A) =  124, err =  3.981171943064575E-01, h_new =  6.612650233258321E-03, n_yes = 106, n_no =   0, h*lambda =  3.296562218468241E+00
step(A) =  125, err =  3.965166987559274E-01, h_new =  6.712959806132946E-03, n_yes = 107, n_no =   0, h*lambda =  3.296593170408349E+00
step(A) =  126, err =  3.947965257609213E-01, h_new =  6.818730889980373E-03, n_yes = 108, n_no =   0, h*lambda =  3.296658832778643E+00
step(A) =  127, err =  3.929415338960264E-01, h_new =  6.930510789481734E-03, n_yes = 109, n_no =   0, h*lambda =  3.296767499178149E+00
step(A) =  128, err =  3.909343060343125E-01, h_new =  7.048930485777859E-03, n_yes = 110, n_no =   0, h*lambda =  3.296930315355223E+00
step(A) =  129, err =  3.887546851840318E-01, h_new =  7.174721211834047E-03, n_yes = 111, n_no =   0, h*lambda =  3.297161486200941E+00
step(A) =  130, err =  3.863787537767984E-01, h_new =  7.308736672001884E-03, n_yes = 112, n_no =   0, h*lambda =  3.297478671474467E+00
step(A) =  131, err =  3.837774367234863E-01, h_new =  7.451982895312776E-03, n_yes = 113, n_no =   0, h*lambda =  3.297904088918098E+00
step(A) =  132, err =  3.809149091912863E-01, h_new =  7.605657796489245E-03, n_yes = 114, n_no =   0, h*lambda =  3.298466526325578E+00
step(A) =  133, err =  3.777467356032023E-01, h_new =  7.771203595907386E-03, n_yes = 115, n_no =   0, h*lambda =  3.299204218924662E+00
step(A) =  134, err =  3.742173477295305E-01, h_new =  7.950377668672869E-03, n_yes = 116, n_no =   0, h*lambda =  3.300168645485718E+00
step(A) =  135, err =  3.702562431534781E-01, h_new =  8.145351292695892E-03, n_yes = 117, n_no =   0, h*lambda =  3.301429746765951E+00
step(A) =  136, err =  3.657721211397255E-01, h_new =  8.358851738847905E-03, n_yes = 118, n_no =   0, h*lambda =  3.303083723811001E+00
step(A) =  137, err =  3.606438455263137E-01, h_new =  8.594373159051764E-03, n_yes = 119, n_no =   0, h*lambda =  3.305265376011864E+00
step(A) =  138, err =  3.547062731120869E-01, h_new =  8.856500450818421E-03, n_yes = 120, n_no =   0, h*lambda =  3.308168166824125E+00
step(A) =  139, err =  3.477270648774941E-01, h_new =  9.151428041710876E-03, n_yes = 121, n_no =   0, h*lambda =  3.312077654455424E+00
step(A) =  140, err =  3.393664556521108E-01, h_new =  9.487836744273778E-03, n_yes = 122, n_no =   0, h*lambda =  3.317429288354494E+00
step(A) =  141, err =  3.291024947823170E-01, h_new =  9.878481014846943E-03, n_yes = 123, n_no =   0, h*lambda =  3.324913729027767E+00
step(A) =  142, err =  3.160801716816496E-01, h_new =  1.034333028834244E-02, n_yes = 124, n_no =   0, h*lambda =  3.335682132106649E+00
step(A) =  143, err =  2.987727607034871E-01, h_new =  1.091658554971418E-02, n_yes = 125, n_no =   0, h*lambda =  3.351781701064660E+00
step(A) =  144, err =  2.741028248940058E-01, h_new =  1.166534735210261E-02, n_yes = 126, n_no =   0, h*lambda =  3.377188017197576E+00
step(A) =  145, err =  2.346239529639008E-01, h_new =  1.275538071971501E-02, n_yes = 127, n_no =   0, h*lambda =  3.420643301255753E+00
step(A) =  146, err =  1.557890191666836E-01, h_new =  1.486002588342233E-02, n_yes = 128, n_no =   0, h*lambda =  3.504653543078997E+00
step(A) =  147, err =  1.226099301345879E-01, h_new =  1.773838960162533E-02, n_yes = 129, n_no =   0, h*lambda =  3.804979086270134E+00
step(R) =  148, err =  1.865508033855957E+00, h_new =  1.435890055771033E-02
step(A) =  149, err =  5.567258694192786E-01, h_new =  1.312640152133710E-02, n_yes = 130, n_no =   0, h*lambda =  3.336672497886441E+00
step(A) =  150, err =  4.497492134494654E-01, h_new =  1.321931282904350E-02, n_yes = 130, n_no =   1, h*lambda =  2.776090342499267E+00
step(A) =  151, err =  2.958470302174228E-01, h_new =  1.417388091544419E-02, n_yes = 130, n_no =   2, h*lambda =  2.510927312768598E+00
step(A) =  152, err =  2.808093537514360E-01, h_new =  1.507800943484761E-02, n_yes = 130, n_no =   3, h*lambda =  2.346913131339605E+00
step(A) =  153, err =  2.677710048665810E-01, h_new =  1.613627102744548E-02, n_yes = 130, n_no =   4, h*lambda =  2.080888195172897E+00
step(A) =  154, err =  2.265592527167412E-01, h_new =  1.773271868998401E-02, n_yes = 130, n_no =   5, h*lambda =  1.724597526684378E+00
