
running dopri5.f test
step(A) =   93, err =  4.213804668437543E-01, h_new =  4.854560809514677E-03, n_yes =  75, n_no =   0, h*lambda =  3.299262534479612E+00
step(A) =   94, err =  4.210326121934276E-01, h_new =  4.889289530465294E-03, n_yes =  76, n_no =   0, h*lambda =  3.299189029321810E+00
step(A) =   95, err =  4.206585781340944E-01, h_new =  4.924848070603226E-03, n_yes =  77, n_no =   0, h*lambda =  3.299083582428204E+00
step(A) =   96, err =  4.202499803473896E-01, h_new =  4.961308437665509E-03, n_yes =  78, n_no =   0, h*lambda =  3.298967423756141E+00
step(A) =   97, err =  4.198169838146367E-01, h_new =  4.998720385112455E-03, n_yes =  79, n_no =   0, h*lambda =  3.298864619069140E+00
step(A) =   98, err =  4.193757250581133E-01, h_new =  5.037107212991481E-03, n_yes =  80, n_no =   0, h*lambda =  3.298782313284495E+00
step(A) =   99, err =  4.189335980660140E-01, h_new =  5.076485536099562E-03, n_yes =  81, n_no =   0, h*lambda =  3.298708596717074E+00
step(A) =  100, err =  4.184845596148351E-01, h_new =  5.116888642345174E-03, n_yes =  82, n_no =   0, h*lambda =  3.298625996384025E+00
step(A) =  101, err =  4.180160636392798E-01, h_new =  5.158374245907839E-03, n_yes =  83, n_no =   0, h*lambda =  3.298526576377812E+00
step(A) =  102, err =  4.175196485347982E-01, h_new =  5.201013723194422E-03, n_yes =  84, n_no =   0, h*lambda =  3.298416291142185E+00
step(A) =  103, err =  4.169959803376240E-01, h_new =  5.244875313946208E-03, n_yes =  85, n_no =   0, h*lambda =  3.298307381257485E+00
step(A) =  104, err =  4.164515043345261E-01, h_new =  5.290016156001509E-03, n_yes =  86, n_no =   0, h*lambda =  3.298207372746440E+00
step(A) =  105, err =  4.158911347372369E-01, h_new =  5.336488066000710E-03, n_yes =  87, n_no =   0, h*lambda =  3.298114148690524E+00
step(A) =  106, err =  4.153136252589897E-01, h_new =  5.384350066409061E-03, n_yes =  88, n_no =   0, h*lambda =  3.298019744859849E+00
step(A) =  107, err =  4.147127240176202E-01, h_new =  5.433676684227517E-03, n_yes =  89, n_no =   0, h*lambda =  3.297918025572469E+00
step(A) =  108, err =  4.140819615578625E-01, h_new =  5.484556618667384E-03, n_yes =  90, n_no =   0, h*lambda =  3.297809325718488E+00
step(A) =  109, err =  4.134184881002320E-01, h_new =  5.537085173718872E-03, n_yes =  91, n_no =   0, h*lambda =  3.297699007140089E+00
step(A) =  110, err =  4.127230989653087E-01, h_new =  5.591358225306473E-03, n_yes =  92, n_no =   0, h*lambda =  3.297592357070076E+00
